bus_id,bus_name,date,is_weekend,source,dest,operator,bus_type,capacity,seats_available,departure_time,arrival_time,duration_hours,distance_km,price,rating,is_night_service,is_direct,ai_generated
10073,VOL-10073,2026-02-02,False,Bangalore,Chennai,SRS Travels,Volvo AC,40,39,04:00:00,16:24:00,36.4,1822,3200,4.7,True,True,False
10074,AC -10074,2026-02-02,False,Bangalore,Mysore,PEPSU,AC Sleeper,35,15,05:00:00,08:12:00,3.2,160,250,4.2,True,True,False
10075,AC -10075,2026-02-02,False,Bangalore,Mysore,Sharma Travels,AC Sleeper,35,11,08:30:00,15:42:00,7.2,362,500,4.5,False,True,False
10076,NON-10076,2026-02-02,False,Bangalore,Mysore,Sharma Travels,Non-AC Seater,50,29,12:00:00,22:48:00,10.8,541,450,3.8,False,True,False
10077,AC -10077,2026-02-02,False,Bangalore,Mysore,Shrinath Travels,AC Sleeper,35,32,15:00:00,00:36:00,9.6,478,700,4.3,False,True,False
10078,VOL-10078,2026-02-02,False,Bangalore,Mysore,Garuda Travels,Volvo AC,40,14,10:30:00,00:00:00,13.5,675,1200,4.5,False,True,False
10079,VOL-10079,2026-02-02,False,Bangalore,Mysore,Paulo Travels,Volvo AC,40,16,20:00:00,09:24:00,13.4,668,1200,4.6,False,True,False
10080,ELE-10080,2026-02-02,False,Bangalore,Mysore,Kaveri Travels,Electric Bus,40,40,20:30:00,05:12:00,8.7,434,550,4.4,False,True,False
10081,ELE-10081,2026-02-02,False,Bangalore,Mysore,GSRTC,Electric Bus,40,25,22:30:00,11:18:00,12.8,640,800,4.2,True,True,False
10082,MUL-10082,2026-02-02,False,Bangalore,Mysore,Mahasagar Travels,Multi-Axle Volvo,43,31,03:00:00,09:30:00,6.5,323,650,4.5,True,True,False
10083,VOL-10083,2026-02-02,False,Bangalore,Mysore,PRTC,Volvo AC,40,10,23:00:00,04:48:00,5.8,289,500,4.4,True,True,False
10084,NON-10084,2026-02-02,False,Bangalore,Coimbatore,VRL Travels,Non-AC Seater,50,40,08:00:00,19:48:00,11.8,591,450,4.1,False,True,False
10085,VOL-10085,2026-02-02,False,Bangalore,Coimbatore,IntrCity SmartBus,Volvo AC,40,31,05:00:00,09:36:00,4.6,230,400,4.5,True,True,False
10086,AC -10086,2026-02-02,False,Bangalore,Coimbatore,KSRTC,AC Semi-Sleeper,40,13,12:00:00,16:42:00,4.7,236,300,4.1,False,True,False
10087,AC -10087,2026-02-02,False,Bangalore,Coimbatore,KK Travels,AC Seater,45,8,10:00:00,22:06:00,12.1,604,650,4.1,False,True,False
10088,NON-10088,2026-02-02,False,Bangalore,Coimbatore,Kerala RTC,Non-AC Sleeper,40,37,09:00:00,23:48:00,14.8,740,700,3.8,False,True,False
10089,AC -10089,2026-02-02,False,Bangalore,Coimbatore,WBTC,AC Seater,45,24,20:00:00,02:42:00,6.7,336,350,3.8,False,True,False
10090,MUL-10090,2026-02-02,False,Bangalore,Coimbatore,VRL Travels,Multi-Axle Volvo,43,35,18:00:00,01:00:00,7.0,350,700,4.6,False,True,False
10091,AC -10091,2026-02-02,False,Bangalore,Coimbatore,PEPSU,AC Semi-Sleeper,40,38,22:30:00,11:18:00,12.8,641,750,3.8,True,True,False
10092,AC -10092,2026-02-02,False,Bangalore,Coimbatore,SRS Travels,AC Seater,45,20,00:00:00,08:42:00,8.7,435,450,4.3,True,True,False
10093,AC -10093,2026-02-02,False,Chennai,Coimbatore,Jabbar Travels,AC Semi-Sleeper,40,5,08:30:00,23:00:00,14.5,723,850,4.3,False,True,False
10094,VOL-10094,2026-02-02,False,Chennai,Coimbatore,TNSTC,Volvo AC,40,38,07:30:00,21:24:00,13.9,697,1250,4.3,False,True,False
10095,AC -10095,2026-02-02,False,Chennai,Coimbatore,KPN Travels,AC Seater,45,45,11:30:00,20:54:00,9.4,471,500,4.1,False,True,False
10096,AC -10096,2026-02-02,False,Chennai,Coimbatore,IntrCity SmartBus,AC Semi-Sleeper,40,7,16:00:00,04:54:00,12.9,647,800,4.2,False,True,False
10097,AC -10097,2026-02-02,False,Chennai,Coimbatore,Parveen Travels,AC Seater,45,34,10:30:00,17:54:00,7.4,370,400,4.0,False,True,False
10098,VOL-10098,2026-02-02,False,Chennai,Coimbatore,JRTC,Volvo AC,40,6,18:30:00,06:36:00,12.1,604,1050,4.2,False,True,False
10099,AC -10099,2026-02-02,False,Chennai,Madurai,WBTC,AC Seater,45,9,06:30:00,16:48:00,10.3,517,550,3.9,False,True,False
10100,AC -10100,2026-02-02,False,Chennai,Madurai,Paulo Travels,AC Semi-Sleeper,40,12,06:00:00,11:36:00,5.6,279,350,4.2,False,True,False
10101,AC -10101,2026-02-02,False,Chennai,Madurai,Mahasagar Travels,AC Semi-Sleeper,40,29,14:00:00,05:00:00,15.0,749,900,4.4,False,True,False
10102,ELE-10102,2026-02-02,False,Chennai,Madurai,KK Travels,Electric Bus,40,14,10:30:00,02:24:00,15.9,793,1000,4.4,False,True,False
10103,ELE-10103,2026-02-02,False,Chennai,Madurai,Orange Travels,Electric Bus,40,7,15:00:00,00:12:00,9.2,462,600,4.3,False,True,False
10104,VOL-10104,2026-02-02,False,Chennai,Madurai,APSRTC,Volvo AC,40,29,17:00:00,04:36:00,11.6,582,1000,4.2,False,True,False
10105,NON-10105,2026-02-02,False,Chennai,Trichy,Neeta Travels,Non-AC Sleeper,40,30,06:00:00,11:54:00,5.9,293,300,4.3,False,True,False
10106,ELE-10106,2026-02-02,False,Chennai,Trichy,Shrinath Travels,Electric Bus,40,12,08:00:00,16:12:00,8.2,411,550,4.6,False,True,False
10107,NON-10107,2026-02-02,False,Chennai,Trichy,ASTC,Non-AC Sleeper,40,19,11:30:00,20:18:00,8.8,442,400,3.7,False,True,False
10108,AC -10108,2026-02-02,False,Chennai,Trichy,Shrinath Travels,AC Semi-Sleeper,40,29,16:00:00,02:24:00,10.4,520,600,4.2,False,True,False
10109,AC -10109,2026-02-02,False,Chennai,Trichy,DTC,AC Seater,45,28,10:00:00,22:06:00,12.1,605,650,3.8,False,True,False
10110,AC -10110,2026-02-02,False,Chennai,Trichy,Eagle Travels,AC Sleeper,35,26,18:30:00,03:12:00,8.7,436,650,4.3,False,True,False
10111,NON-10111,2026-02-02,False,Chennai,Trichy,Bharathi Travels,Non-AC Sleeper,40,19,19:30:00,03:12:00,7.7,386,350,4.2,False,True,False
10112,AC -10112,2026-02-02,False,Hyderabad,Vijayawada,Paulo Travels,AC Sleeper,35,14,07:00:00,22:54:00,15.9,793,1150,4.5,False,True,False
10113,MUL-10113,2026-02-02,False,Hyderabad,Vijayawada,WBTC,Multi-Axle Volvo,43,27,07:30:00,14:54:00,7.4,371,750,4.2,False,True,False
10114,NON-10114,2026-02-02,False,Hyderabad,Vijayawada,RedBus Express,Non-AC Seater,50,30,15:00:00,04:30:00,13.5,674,550,3.8,False,True,False
10115,AC -10115,2026-02-02,False,Hyderabad,Vijayawada,Neeta Travels,AC Semi-Sleeper,40,36,11:00:00,21:06:00,10.1,503,600,4.2,False,True,False
10116,ELE-10116,2026-02-02,False,Hyderabad,Vijayawada,Kerala RTC,Electric Bus,40,12,14:00:00,00:36:00,10.6,530,700,4.2,False,True,False
10117,NON-10117,2026-02-02,False,Hyderabad,Vijayawada,Skyline Travels,Non-AC Sleeper,40,11,19:00:00,02:30:00,7.5,375,350,4.1,False,True,False
10118,NON-10118,2026-02-02,False,Hyderabad,Vijayawada,ASTC,Non-AC Sleeper,40,26,18:30:00,09:54:00,15.4,769,750,3.7,False,True,False
10119,MUL-10119,2026-02-02,False,Hyderabad,Vijayawada,ASTC,Multi-Axle Volvo,43,12,23:30:00,10:54:00,11.4,570,1150,4.3,True,True,False
10120,AC -10120,2026-02-02,False,Hyderabad,Vijayawada,DTC,AC Seater,45,19,23:00:00,14:12:00,15.2,762,800,3.8,True,True,False
10121,AC -10121,2026-02-02,False,Hyderabad,Vijayawada,Bharathi Travels,AC Seater,45,38,22:00:00,03:36:00,5.6,281,300,4.0,True,True,False
10122,NON-10122,2026-02-02,False,Kolkata,Siliguri,Neeta Travels,Non-AC Seater,50,9,06:30:00,12:42:00,6.2,309,250,4.0,False,True,False
10123,ELE-10123,2026-02-02,False,Kolkata,Siliguri,TSRTC,Electric Bus,40,10,08:30:00,11:54:00,3.4,168,200,4.0,False,True,False
10124,MUL-10124,2026-02-02,False,Kolkata,Siliguri,IntrCity SmartBus,Multi-Axle Volvo,43,13,09:30:00,17:06:00,7.6,378,750,4.5,False,True,False
10125,VOL-10125,2026-02-02,False,Kolkata,Siliguri,Green Line,Volvo AC,40,25,09:00:00,22:12:00,13.2,659,1150,4.6,False,True,False
10126,AC -10126,2026-02-02,False,Kolkata,Siliguri,RSRTC,AC Semi-Sleeper,40,24,12:00:00,15:54:00,3.9,197,250,4.1,False,True,False
10127,MUL-10127,2026-02-02,False,Kolkata,Siliguri,SRS Travels,Multi-Axle Volvo,43,19,20:00:00,09:48:00,13.8,691,1400,4.7,False,True,False
10128,ELE-10128,2026-02-02,False,Kolkata,Siliguri,TNSTC,Electric Bus,40,31,20:30:00,08:54:00,12.4,618,800,4.0,False,True,False
10129,AC -10129,2026-02-02,False,Kolkata,Siliguri,Mahasagar Travels,AC Seater,45,20,22:30:00,02:00:00,3.5,177,200,4.4,True,True,False
10130,AC -10130,2026-02-02,False,Kolkata,Siliguri,IntrCity SmartBus,AC Sleeper,35,5,22:00:00,12:00:00,14.0,700,1000,4.3,True,True,False
10131,MUL-10131,2026-02-02,False,Kolkata,Siliguri,HRTC,Multi-Axle Volvo,43,20,21:00:00,03:48:00,6.8,339,700,4.4,True,True,False
10132,AC -10132,2026-02-02,False,Kochi,Trivandrum,JRTC,AC Sleeper,35,6,07:00:00,16:54:00,9.9,496,700,4.0,False,True,False
10133,MUL-10133,2026-02-02,False,Kochi,Trivandrum,KPN Travels,Multi-Axle Volvo,43,39,07:30:00,11:54:00,4.4,220,450,4.7,False,True,False
10134,AC -10134,2026-02-02,False,Kochi,Trivandrum,Parveen Travels,AC Seater,45,5,13:00:00,23:24:00,10.4,520,550,4.0,False,True,False
10135,ELE-10135,2026-02-02,False,Kochi,Trivandrum,Neeta Travels,Electric Bus,40,13,12:00:00,17:30:00,5.5,275,350,4.4,False,True,False
10136,ELE-10136,2026-02-02,False,Kochi,Trivandrum,Goa RTC,Electric Bus,40,29,10:00:00,15:24:00,5.4,271,350,3.9,False,True,False
10137,ELE-10137,2026-02-02,False,Kochi,Trivandrum,Kerala RTC,Electric Bus,40,40,20:30:00,09:00:00,12.5,625,800,4.1,False,True,False
10138,ELE-10138,2026-02-02,False,Kochi,Trivandrum,Orange Travels,Electric Bus,40,11,18:00:00,23:36:00,5.6,282,350,4.4,False,True,False
10139,MUL-10139,2026-02-02,False,Kochi,Trivandrum,APSRTC,Multi-Axle Volvo,43,15,00:00:00,06:42:00,6.7,336,650,4.2,True,True,False
10140,VOL-10140,2026-02-02,False,Kochi,Trivandrum,JRTC,Volvo AC,40,10,03:00:00,16:06:00,13.1,657,1150,4.1,True,True,False
10141,ELE-10141,2026-02-02,False,Pune,Goa,Green Line,Electric Bus,40,13,06:00:00,16:36:00,10.6,528,700,4.3,False,True,False
10142,NON-10142,2026-02-02,False,Pune,Goa,SRS Travels,Non-AC Sleeper,40,15,07:30:00,20:54:00,13.4,672,650,4.0,False,True,False
10143,VOL-10143,2026-02-02,False,Pune,Goa,SR Travels,Volvo AC,40,16,13:00:00,03:06:00,14.1,704,1250,4.3,False,True,False
10144,AC -10144,2026-02-02,False,Pune,Goa,KK Travels,AC Semi-Sleeper,40,14,09:00:00,20:24:00,11.4,568,700,4.5,False,True,False
10145,NON-10145,2026-02-02,False,Pune,Goa,KPN Travels,Non-AC Seater,50,17,11:00:00,19:06:00,8.1,403,300,4.0,False,True,False
10146,NON-10146,2026-02-02,False,Pune,Goa,TSRTC,Non-AC Sleeper,40,39,20:00:00,02:30:00,6.5,325,300,3.9,False,True,False
10147,NON-10147,2026-02-02,False,Pune,Goa,Sharma Travels,Non-AC Seater,50,7,18:00:00,08:12:00,14.2,709,550,3.9,False,True,False
10148,AC -10148,2026-02-02,False,Ahmedabad,Surat,Jabbar Travels,AC Seater,45,17,06:00:00,11:12:00,29.2,1459,1500,4.3,False,True,False
10149,AC -10149,2026-02-02,False,Ahmedabad,Surat,HRTC,AC Seater,45,43,08:30:00,19:48:00,11.3,564,600,3.9,False,True,False
10150,MUL-10150,2026-02-02,False,Ahmedabad,Surat,VRL Travels,Multi-Axle Volvo,43,16,14:00:00,14:42:00,24.7,1234,2450,4.5,False,True,False
10151,ELE-10151,2026-02-02,False,Ahmedabad,Surat,TNSTC,Electric Bus,40,40,10:30:00,07:12:00,20.7,1035,1300,4.2,False,True,False
10152,AC -10152,2026-02-02,False,Ahmedabad,Surat,TSRTC,AC Seater,45,6,13:00:00,03:54:00,14.9,746,800,3.7,False,True,False
10153,AC -10153,2026-02-02,False,Ahmedabad,Surat,ASTC,AC Sleeper,35,8,18:30:00,21:54:00,27.4,1368,1950,3.9,False,True,False
10154,AC -10154,2026-02-02,False,Jaipur,Udaipur,Parveen Travels,AC Sleeper,35,8,05:30:00,17:12:00,11.7,586,850,4.3,True,True,False
10155,ELE-10155,2026-02-02,False,Jaipur,Udaipur,Green Line,Electric Bus,40,33,05:00:00,00:54:00,19.9,997,1300,4.5,True,True,False
10156,NON-10156,2026-02-02,False,Jaipur,Udaipur,BSRTC,Non-AC Seater,50,43,13:00:00,13:48:00,24.8,1240,1000,3.9,False,True,False
10157,AC -10157,2026-02-02,False,Jaipur,Udaipur,DTC,AC Seater,45,37,11:30:00,11:24:00,23.9,1195,1250,4.0,False,True,False
10158,NON-10158,2026-02-02,False,Jaipur,Udaipur,RedBus Express,Non-AC Sleeper,40,38,14:00:00,05:12:00,15.2,760,750,4.0,False,True,False
10159,NON-10159,2026-02-02,False,Jaipur,Udaipur,RSRTC,Non-AC Seater,50,43,20:30:00,18:30:00,22.0,1100,900,3.6,False,True,False
10160,AC -10160,2026-02-02,False,Delhi,Haridwar,BSRTC,AC Sleeper,35,14,06:30:00,09:48:00,3.3,167,250,4.2,False,True,False
10161,ELE-10161,2026-02-02,False,Delhi,Haridwar,BSRTC,Electric Bus,40,35,05:00:00,16:24:00,11.4,569,750,3.9,True,True,False
10162,NON-10162,2026-02-02,False,Delhi,Haridwar,RSRTC,Non-AC Seater,50,12,11:30:00,21:48:00,10.3,517,400,3.8,False,True,False
10163,AC -10163,2026-02-02,False,Delhi,Haridwar,SETC,AC Sleeper,35,23,09:00:00,17:24:00,8.4,421,600,4.3,False,True,False
10164,MUL-10164,2026-02-02,False,Delhi,Haridwar,Kallada Travels,Multi-Axle Volvo,43,6,09:30:00,19:30:00,10.0,499,1000,4.4,False,True,False
10165,NON-10165,2026-02-02,False,Delhi,Haridwar,APSRTC,Non-AC Sleeper,40,28,19:30:00,11:00:00,15.5,776,750,4.0,False,True,False
10166,AC -10166,2026-02-02,False,Delhi,Haridwar,ASTC,AC Seater,45,19,20:00:00,02:24:00,6.4,319,350,4.0,False,True,False
10167,MUL-10167,2026-02-02,False,Delhi,Shimla,Sharma Travels,Multi-Axle Volvo,43,17,08:00:00,14:06:00,6.1,306,600,4.8,False,True,False
10168,NON-10168,2026-02-02,False,Delhi,Shimla,National Travels,Non-AC Sleeper,40,19,06:00:00,12:18:00,6.3,317,300,3.9,False,True,False
10169,NON-10169,2026-02-02,False,Delhi,Shimla,Kerala RTC,Non-AC Sleeper,40,18,14:00:00,17:48:00,3.8,190,200,3.9,False,True,False
10170,AC -10170,2026-02-02,False,Delhi,Shimla,IntrCity SmartBus,AC Sleeper,35,18,16:00:00,05:30:00,13.5,675,950,4.3,False,True,False
10171,NON-10171,2026-02-02,False,Delhi,Shimla,Goa RTC,Non-AC Sleeper,40,36,10:30:00,22:18:00,11.8,588,550,3.7,False,True,False
10172,ELE-10172,2026-02-02,False,Delhi,Shimla,PRTC,Electric Bus,40,9,17:00:00,04:24:00,11.4,570,750,3.9,False,True,False
10173,MUL-10173,2026-02-02,False,Delhi,Shimla,APSRTC,Multi-Axle Volvo,43,18,18:30:00,07:30:00,13.0,651,1300,4.2,False,True,False
